"","V1","V2"
"1","The Best Super Bowl Ad Meter Winners Ever No. 7: Budweiser 2003 #AdMeter #Superbowl http://t.co/eeftEL1P","6"
"2","Super Bowl Ad Meter countdown No. 7: Budweiser's zebra referee: Our panel of experts has ranked the Ad Meter cha... http://t.co/GVQUh3A1","8"
"3","Latest: Super Bowl Ad Meter countdown No. 7: Budweiser's zebra referee http://t.co/R7chSRLp #Sport","8"
"4","Super Bowl Ad Meter countdown No. 7: Budweiser's zebra referee http://t.co/X7NVaDqi","8"
"5","vox6 - Super Bowl Ad Meter countdown No. 7: Budweiser's zebra referee http://t.co/3TYnARN2 - Fresh News","8"
"6","Super Bowl Ad Meter countdown No. 7: Budweiser's zebra referee http://t.co/CFsMg1r2","8"
"7","I just voted for Budweiser “Team Clydesdale” as Super Bowl's Greatest Commercial! Vote now! #budweiserteamclydesdale http://t.co/ac8cGfVR","10"
"8","Anyone else feel like #BudLight predicted the #SuperBowl months ago with their odd commercial?","6"
"9","@target to skip #SuperBowl commercial spot, develops budget-friendly (and fun) alternative to game day hoopla! http://t.co/JX1fqNQr","6"
"10","RT @ChipsNLaccavole: Can Budweiser make a commercial for next season in which a @Giants fan starts watching games from his lucky seat? I ...","4"
"11","I just voted for Budweiser Superfan as Super Bowl's Greatest Commercial! Vote now!#budweisersuperfan http://t.co/d8dUqRa8","10"
"12","Bud Black Crown 6%abv launches at SBS. Multi Million Dollar campaign ad for Superbowl. Get it now before the... http://t.co/QnEosSJi","7"
"13","Coca-cola's social media game for Super Bowl ad - the beauty of a big budget..! http://t.co/gJLlO1fG","6"
"14","I just voted for Budweiser Superfan as Super Bowl's Greatest Commercial! Vote now!#budweisersuperfan http://t.co/gceBsMYE","10"
"15","Are the rumors that Budweiser cast Blue Ivy in their Super Bowl commercial true?","6"
"16","I just voted for Budweiser Team Clydesdale as Super Bowl's Greatest Commercial! Vote now!#budweiserteamclydesdale http://t.co/XMC2zb7I","10"
"17","If Bud Light is not preparing another ""lucky seat"" commercial, during and after the Superbowl, than that is a marketing fail. #budlight","4"
"18","That bud light commercial with the creeper Niners fan seems genius now. #superbowl","4"
"19","#SuperBowl commercial #Budweiser #Clydesdale donkey http://t.co/VPpOqPQN","6"
"20","Commercial: A woman walking but its zoomed into only her legs,wearing a short dress. And im trying to figure it out,budweiser, of course..","6"
"21","I've had just about enough of the fucking Budweiser beer league commercial #wegetitalready","6"
"22","I just voted for Budweiser Team Clydesdale as Super Bowl's Greatest Commercial! Vote now!#budweiserteamclydesdale http://t.co/8XWmxwdv","10"
"23","I just voted for Budweiser Superfan as Super Bowl's Greatest Commercial! Vote now!#budweisersuperfan http://t.co/8XWmxwdv","10"
"24","Umm just saw a commercial for a new type of Budweiser? Hopefully they've teamed to with Evan Williams and are now making beersky","6"
"25","I just voted for Budweiser Team Clydesdale as Super Bowl's Greatest Commercial! Vote now!#budweiserteamclydesdale http://t.co/WzQksVAY","10"
"26","I just voted for Budweiser Superfan as Super Bowl's Greatest Commercial! Vote now!#budweisersuperfan http://t.co/WzQksVAY","10"
"27","Budweiser Black Crown Super Bowl 2013 Ad Teasers Relelased http://t.co/YccDzSEn - I4U News: Daily News and Trends for the Geek Mind.","7"
"28","Budweiser Black Crown Super Bowl 2013 Ad Teasers Released: Anheuser-Busch will be again a major Su... http://t.co/McAxhSW8 #beer #cheers","7"
"29","I just voted for Budweiser Team Clydesdale as Super Bowl's Greatest Commercial! Vote now!#budweiserteamclydesdale http://t.co/K4tMHM1i","10"
"30","Super Bowl 2013 Ad for Budweiser Black Crown Released http://t.co/k5R93CIH - Balla Networks","7"
"31","Bud debuting new Budweiser Black Crown with Super Bowl commercial http://t.co/x0YD0B4H","7"
"32","Bud debuting new Budweiser Black Crown with Super Bowl commercial http://t.co/Fv6SxSbt","7"
"33","Bud debuting new Budweiser Black Crown with Super Bowl commercial http://t.co/xsaiUBIS","7"
"34","Remember last year's @budweiser #Superbowl ad? http://t.co/IooXvAqJ","6"
"35","RT @AllAboutJXN: Super Bowl 2013 ads: Budweiser Black Crown lands first commercial spot, on sale today http://t.co/1VpFArZw","7"
"36","I just voted for Budweiser Superfan as Super Bowl's Greatest Commercial! Vote now!#budweisersuperfan http://t.co/eT1FFNyB","10"
"37","Bud debuting new Budweiser Black Crown with Super Bowl commercial http://t.co/x0YD0B4H via @SPRBrewCrew","7"
"38","I just voted for Budweiser Team Clydesdale as Super Bowl's Greatest Commercial! Vote now!#budweiserteamclydesdale http://t.co/yeOnYcDw","10"
"39","Spectacular! Budweiser has out done itself, its going to be a great commercial. Ironical I will be in France for... http://t.co/CeUYFQcJ","9"
"40","Spectacular! Budweiser has out done itself, its going to be a great commercial. Ironical I will be in France for... http://t.co/bqEUA0IQ","9"
"41","I just voted for Budweiser Team Clydesdale as Super Bowl's Greatest Commercial! Vote now!#budweiserteamclydesdale http://t.co/3t2XGx2X","10"
"42","Do you need to build #morale around the office? #SuperBowl commercial #BudLight http://t.co/TvzLUeOP","2"
"43","Do you need to build #morale around the office? #SuperBowl commercial #BudLight http://t.co/92IYgYOr","2"
"44","RT @rockynrobyn37: Do you need to build #morale around the office? #SuperBowl commercial #BudLight http://t.co/gymUC1aW Fun stuff.","2"
"45","I just voted for Budweiser Team Clydesdale as Super Bowl's Greatest Commercial! Vote now!#budweiserteamclydesdale http://t.co/KzFrnakv","10"
"46","I just voted for Budweiser Team Clydesdale as Super Bowl's Greatest Commercial! Vote now!#budweiserteamclydesdale http://t.co/OpuQfkxa","10"
"47","I just voted for Budweiser Superfan as Super Bowl's Greatest Commercial! Vote now!#budweisersuperfan http://t.co/OpuQfkxa","10"
"48","#SeparatedAtBirth #SuperBowl commercial #Budweiser http://t.co/iiW6Gpxo","6"
"49","#SeparatedAtBirth #SuperBowl commercial #Budweiser http://t.co/uH2rEOA0","6"
"50","My new Crown Royal Black Budweiser has its very own SUPERBOWL COMMERCIAL!! Rock on CRB Fam!! Love yall and yall love me!!","7"
"51","Love how I just saw a commercial from Budweiser Black Crown with a release date of 2.3.13. It sitting on the shelves at my store now.","7"
"52","What is your favorite Bud Light #superbowl commercial? #stl","4"
"53","Just caught the Black Crown #Budweiser commercial. Spot on folks! Keep up all you do #AB.","7"
"54","Budweiser Black Crown Super Bowl 2013 Ad Teasers Released http://t.co/5DX4C9iX","7"
"55","Just when I'm starting to miss Sunday Night Football, Budweiser comes out with an awesome commercial.","6"
"56","I just voted for Budweiser “Team Clydesdale” as Super Bowl's Greatest Commercial! Vote now! #budweiserteamclydesdale http://t.co/KZUen749","10"
"57","Have you Voted 4 Goat yet? My buddy Ben has a chance to air his #Doritos commercial during the Superbowl http://t.co/BaArapOF","6"
"58","Does anyone else wish #Budweiser would bring back #BudBowl ? I used to love that campaign. Commercial or two per quarter. #placeyourbets","6"
"59","Budweiser to introduce Black Crown with Super Bowl commercial http://t.co/HGhRnt9g","7"
"60","Joining @FritoLay & @Budweiser @GoDaddy has released its Super Bowl ad. Here's the clip: http://t.co/u2pHpdQi MT @USATODAY #AdMeter","6"
"61","hey everyone! vote for my friend @ChrisDavid315 's Audi SuperBowl commercial ending entitled ""Buddies"": http://t.co/GWkbqk8k !","3"
"62","BUDWEISER WASSUP ORIGINAL + PIZZA GUY. Its that tome again, What was your favorite commercial. http://t.co/5CkgbbWO","6"
"63","RT @RachaelKBell: hey everyone! vote for my friend @ChrisDavid315 's Audi SuperBowl commercial ending entitled ""Buddies"": http://t.co/GW ...","3"
"64","Make sure to vote for @ChrisDavid315 Audi commercial to air at the superbowl entitled ""Buddies"" http://t.co/5howtGFX","3"
"65","This #SuperBowl commercial is a favorite around our office. #BudLight #SwearJar http://t.co/lRXmzdaM","2"
"66","This #SuperBowl commercial is a favorite around our office. #BudLight #SwearJar http://t.co/jqaEKIUA","2"
"67","Social-Media Analysis: Pepsi-Bud Super Bowl Mashup Makes Sense - Ad Age Mobile http://t.co/v0Lb9TDr #socialmedia #pepsi #superbowl @1krown","6"
"68","RT @heyitsmeredith: Make sure to vote for @ChrisDavid315 Audi commercial to air at the superbowl entitled ""Buddies"" http://t.co/5howtGFX","3"
"69","My Texas Bud Light Nola Superbowl ad with @joewillywalker @jackdwalker @ Lamberts Downtown Barbeque http://t.co/DmpmZaGX","4"
"70","@darrenrovell Good time on the ESPN Chat today...which companies are spending big on Super Bowl ads this year? Budweiser?","6"
"71","As of now my cousin is in a Super Bowl commercial for Budweiser...daaaannnggg","6"
"72","RT @NotGronkowski: #Budweiser contacted me to be one of their Clydesdales in a Super Bowl commercial","4"
"73","#SuperBowl commercial #Clothing Drive #BudLight http://t.co/BWQanJEK","2"
"74","#SuperBowl commercial #Clothing Drive #BudLight http://t.co/NyW9UGWg","2"
"75","I added a video to a @YouTube playlist http://t.co/cMXbqt3m 2007 Budweiser Super Bowl Commercial Auction Wedding","9"
"76","I added a video to a @YouTube playlist http://t.co/gVn7T3G4 Bud Light 2008 Superbowl Commercial ""Birthday""","9"
"77","I added a video to a @YouTube playlist http://t.co/peNaLAhn Budweiser Super Bowl commercial","9"
"78","Why is there a commercial for a Budweiser beer coming out in February when I've already had it","6"
"79","Im telling you guys right now the Superbowl budweiser commercial is gonna end up being a guy!!!","6"
"80","So this Budweiser Black Crown is slate for release on Feb. 3 per the commercial but I saw it at Kroger today. #beer","7"
"81","I added a video to a @YouTube playlist http://t.co/fuk7jDU0 Budweiser ""Eternal Optimism"" Superbowl Commercial","9"
"82","Bud Frogs, step aside. Here's my Superbowl Ad recc: http://t.co/QEXK8o2v. Enjoy!! ))) #fb","6"
"83","I just voted for Budweiser “Team Clydesdale” as Super Bowl's Greatest Commercial! Vote now! #budweiserteamclydesdale http://t.co/rccI2FpY","10"
"84","#ufc Video: Anderson Silva, Budweiser Commercial For Super Bowl http://t.co/nTXTe9fs","5"
"85","Video: Anderson Silva, Budweiser Commercial For Super Bowl http://t.co/Yna2Iutm","5"
"86","Video: Anderson Silva, Budweiser Commercial For Super Bowl #UFC","5"
"87","RT @UFC__Info: Video: Anderson Silva, Budweiser Commercial For Super Bowl #UFC","5"
"88","RT @UFCinfo__: Video: Anderson Silva, Budweiser Commercial For Super Bowl #UFC","5"
"89","Budweiser sponsors the FA Cup, but doesn't have a football commercial #Lame","6"
"90","Shooting this commercial shoot for Budweiser today! 🍻","6"
"91","I just voted for Budweiser Superfan as Super Bowl's Greatest Commercial! Vote now!#budweisersuperfan http://t.co/h5KSzfiV","10"
"92","I just voted for Budweiser Team Clydesdale as Super Bowl's Greatest Commercial! Vote now!#budweiserteamclydesdale http://t.co/h5KSzfiV","10"
"93","if the 49ers win the superbowl, i'm giving all the credit to the fan from the bud light commercial who sat on the couch.","4"
"94","RT @MMAmaniaNews: Video: @SpiderAnderson Silva Budweiser commercial for Super Bowl XLVII http://t.co/fHrd2Rzl","5"
"95","Video: Anderson Silva Budweiser commercial for Super Bowl XLVII http://t.co/vJlSC3lb via @MMAmaniaNews","5"
"96","Video: Anderson Silva Budweiser commercial for Super Bowl XLVII http://t.co/aCb8mV3r","5"
"97","Video: Anderson Silva Budweiser commercial for Super Bowl XLVII http://t.co/W68VC03x","5"
"98","Video: Anderson Silva Budweiser commercial for Super Bowl XLVII http://t.co/mOZ63Lgi #ufc #mma","5"
"99","Video: Anderson Silva Budweiser commercial for Super Bowl XLVII http://t.co/oV9KKfjM #ufc #mma","5"
"100","RT @blogMMA: Video: Anderson Silva Budweiser commercial for Super Bowl XLVII http://t.co/oV9KKfjM #ufc #mma","5"
"101","#mma #ufc Video: Anderson Silva Budweiser commercial for Super Bowl XLVII... http://t.co/M2lHddLe","5"
"102","RT @MMAmaniaNews: Video: @SpiderAnderson Silva Budweiser commercial for Super Bowl XLVII http://t.co/Fhwx1Ih6","5"
"103","Video: Anderson Silva Budweiser commercial for Super Bowl XLVII http://t.co/ziIhukeY","5"
"104","Life..... Video: Anderson Silva Budweiser commercial for Super Bowl XLVII http://t.co/8xzCVhMm","5"
"105","Video: Anderson Silva Budweiser commercial for Super Bowl XLVII: UFC middleweight champion Anderson Silva shows ... http://t.co/DfPOskSE","5"
"106","The Best Super Bowl Ad Meter Winners Ever No. 7: Budweiser 2003: In at number seven in our all-time ranking of A... http://t.co/lsG4SSNn","6"
"107","Its fucked up how theirs been a 49ers budlight superbowl.commercial all year and now they made it......","6"
"108","My 98 year old grandma said Budweiser is the best. Told her she should be on #SuperBowl commercial since she http://t.co/WNcV9EgB","6"
"109","RT @THEREALJCULL: Its fucked up how theirs been a 49ers budlight superbowl.commercial all year and now they made it......","6"
"110","Budweiser has to do better with this knee knocking commercial, seriously!!","6"
"111","RT @davis161073: Video: Anderson Silva Budweiser commercial for Super Bowl XLVII http://t.co/vGwtbZts","5"
"112","That Budweiser commercial>","6"
"113","Aloha #BudLight Brilliant #Marketing 101 Get Rob to do a #superbowl commercial from his ""lucky seat man"", if San Fran wins. #49ers #woodhana","4"
"114","That budweiser commercial>> lmao","6"
"115","@budknocker that Superbowl ad makes her a downtown girl!!!","6"
"116","So I see the commercial says these dont come out till 2/3/13 hmmmmm I got it already y'all don't lol #budweiser http://t.co/5xdQ3vkp","6"
"117","Budweiser just teased a Super Bowl commercial, fuckers know how to get me every time.","6"
"118","I just voted for Budweiser Superfan as Super Bowl's Greatest Commercial! Vote now!#budweisersuperfan http://t.co/okX7ATKo","10"
"119","@j88ess tweet your reaction to #BudLight's superbowl AD next week and join ONWE's mission to improve tv commercials","6"
"120","Bud Light Starts Its #SuperBowl Ad Party Early on Social Media http://t.co/DtCO22OQ via @mashable #advertising #socialmedia","1"
